timestamp(ms),DPTH.Depth,DPTH.Lng,DPTH.Lat
202528.372,2.171999931335449,-807315020,353037757
202628.372,2.173999786376953,-807315021,353037757
202728.372,2.178999900817871,-807315023,353037757
202828.372,2.183000087738037,-807315024,353037757
202928.372,2.18399977684021,-807315025,353037757
203028.372,2.18399977684021,-807315026,353037757
203128.372,2.186000108718872,-807315027,353037757
203228.372,2.184999942779541,-807315028,353037758
203328.372,2.190999984741211,-807315029,353037758
203428.372,2.196000099182129,-807315030,353037758
203528.372,2.197000026702881,-807315031,353037758
203628.372,2.196000099182129,-807315032,353037758
203728.372,2.194999933242798,-807315033,353037758
203828.372,2.194999933242798,-807315034,353037758
203928.372,2.200000047683716,-807315035,353037759
204028.372,2.197999954223633,-807315036,353037759
204128.372,2.2009999752044678,-807315037,353037759
204228.372,2.2009999752044678,-807315038,353037760
204328.372,2.2009999752044678,-807315039,353037760
204428.372,2.2009999752044678,-807315040,353037760
204528.372,2.2009999752044678,-807315041,353037760
204628.372,2.203000068664551,-807315041,353037760
204728.372,2.2039999961853027,-807315041,353037761
204828.372,2.2019999027252197,-807315042,353037761
204928.372,2.2019999027252197,-807315042,353037761
205028.372,2.2070000171661377,-807315042,353037761
205128.372,2.2089998722076416,-807315043,353037760
205228.372,2.2060000896453857,-807315044,353037760
205328.372,2.203000068664551,-807315045,353037760
205428.372,2.2070000171661377,-807315047,353037760
205528.372,2.2109999656677246,-807315050,353037758
205628.372,2.2109999656677246,-807315053,353037757
205728.372,2.2060000896453857,-807315056,353037756
205828.372,2.2060000896453857,-807315060,353037754
205928.372,2.2060000896453857,-807315064,353037753
206028.372,2.2009999752044678,-807315069,353037751
206128.372,2.1989998817443848,-807315075,353037749
206228.372,2.194999933242798,-807315086,353037745
206328.372,2.197000026702881,-807315092,353037743
206428.372,2.193000078201294,-807315099,353037741
206528.372,2.190999984741211,-807315107,353037738
206628.372,2.191999912261963,-807315113,353037736
206728.372,2.191999912261963,-807315122,353037733
206828.372,2.188999891281128,-807315130,353037730
206928.372,2.183000087738037,-807315137,353037727
207028.372,2.180000066757202,-807315146,353037724
207128.372,2.177999973297119,-807315153,353037722
207228.372,2.176999807357788,-807315163,353037719
207328.372,2.1760001182556152,-807315172,353037715
207428.372,2.1669998168945312,-807315189,353037709
207528.372,2.1619999408721924,-807315196,353037705
207628.372,2.1619999408721924,-807315206,353037701
207728.372,2.1610000133514404,-807315215,353037697
207828.372,2.1610000133514404,-807315222,353037694
207928.372,2.1579999923706055,-807315231,353037690
208028.372,2.1559998989105225,-807315239,353037687
208128.372,2.1559998989105225,-807315248,353037683
208228.372,2.1489999294281006,-807315257,353037679
208328.372,2.1549999713897705,-807315265,353037677
208428.372,2.1529998779296875,-807315274,353037674
208528.372,2.1529998779296875,-807315290,353037669
208628.372,2.1549999713897705,-807315299,353037666
208728.372,2.1559998989105225,-807315306,353037664
208828.372,2.1529998779296875,-807315315,353037661
208928.372,2.1569998264312744,-807315322,353037659
209028.372,2.1539998054504395,-807315331,353037656
209128.372,2.1489999294281006,-807315340,353037653
209228.372,2.1480000019073486,-807315348,353037651
209328.372,2.1449999809265137,-807315357,353037648
209428.372,2.1510000228881836,-807315366,353037645
209528.372,2.1459999084472656,-807315373,353037643
209628.372,2.1459999084472656,-807315382,353037639
209728.372,2.1459999084472656,-807315399,353037633
209828.372,2.1449999809265137,-807315409,353037630
209928.372,2.1419999599456787,-807315417,353037627
210028.372,2.1429998874664307,-807315427,353037624
210128.372,2.1369998455047607,-807315435,353037621
210228.372,2.1419999599456787,-807315445,353037618
210328.372,2.1369998455047607,-807315455,353037616
210428.372,2.1399998664855957,-807315462,353037614
210528.372,2.135999917984009,-807315472,353037611
210628.372,2.131999969482422,-807315479,353037608
210728.372,2.132999897003174,-807315488,353037605
210828.372,2.1369998455047607,-807315497,353037602
210928.372,2.1389999389648438,-807315513,353037595
211028.372,2.1389999389648438,-807315520,353037592
211128.372,2.138000011444092,-807315529,353037588
211228.372,2.133999824523926,-807315538,353037585
211328.372,2.131999969482422,-807315546,353037582
211428.372,2.13100004196167,-807315555,353037579
211528.372,2.126999855041504,-807315563,353037576
211628.372,2.125,-807315572,353037572
211728.372,2.122999906539917,-807315581,353037568
211828.372,2.133999824523926,-807315589,353037565
